"Date","UDOW.Open","UDOW.High","UDOW.Low","UDOW.Close","UDOW.Volume","UDOW.Adjusted"
2020-01-02,31.4874992370605,32.2299995422363,31.3999996185303,32.2299995422363,2143200,30.4661045074463
2020-01-03,31.1299991607666,31.6949996948242,31.0699996948242,31.4200000762939,2138400,29.7004318237305
2020-01-06,30.75,31.6474990844727,30.7124996185303,31.625,2416000,29.8942184448242
2020-01-07,31.4125003814697,31.5575008392334,31.1774997711182,31.2399997711182,1737600,29.5302810668945
2020-01-08,31.0849990844727,32.1500015258789,31,31.7800006866455,2337200,30.0407295227051
2020-01-09,32.2700004577637,32.5525016784668,32.0950012207031,32.4925003051758,1663200,30.7142448425293
2020-01-10,32.5825004577637,32.6399993896484,31.8974990844727,32.0074996948242,1862800,30.2557811737061
2020-01-13,32.1925010681152,32.2999992370605,32,32.2775001525879,1714400,30.5110015869141
2020-01-14,32.2200012207031,32.7625007629395,32.1775016784668,32.3450012207031,2106000,30.5748062133789
2020-01-15,32.2550010681152,33.0149993896484,32.2550010681152,32.6875,1868400,30.8985633850098
2020-01-16,33.1324996948242,33.5750007629395,33.0875015258789,33.5349998474121,1614800,31.6996841430664
2020-01-17,33.8325004577637,33.8499984741211,33.5750007629395,33.7449989318848,1446400,31.8981876373291
2020-01-21,33.4199981689453,33.7224998474121,33.064998626709,33.2550010681152,1972800,31.4350109100342
2020-01-22,33.4425010681152,33.6474990844727,33.1500015258789,33.1949996948242,1479200,31.3782825469971
2020-01-23,32.8400001525879,33.2099990844727,32.4425010681152,33.127498626709,1858400,31.3144817352295
2020-01-24,33.4599990844727,33.5250015258789,32.0200004577637,32.5349998474121,3778800,30.754415512085
2020-01-27,30.8349990844727,31.4375,30.7124996185303,30.9950008392334,4368000,29.2986907958984
2020-01-28,31.2849998474121,31.9249992370605,31.1299991607666,31.625,2062400,29.8942184448242
2020-01-29,32.2174987792969,32.2874984741211,31.5925006866455,31.6200008392334,2214800,29.8894844055176
2020-01-30,31.0874996185303,32.0974998474121,30.8075008392334,32.0224990844727,3134800,30.2699584960938
2020-01-31,31.4899997711182,31.5799999237061,29.7275009155273,29.9925003051758,5397200,28.3510551452637
2020-02-03,30.3649997711182,31.1975002288818,30.3325004577637,30.4475002288818,3374400,28.7811546325684
2020-02-04,31.6800003051758,32.0875015258789,31.5750007629395,31.7700004577637,2080000,30.0312786102295
2020-02-05,32.6749992370605,33.4300003051758,32.4174995422363,33.3600006103516,2844400,31.5342540740967
2020-02-06,33.752498626709,33.7975006103516,33.2125015258789,33.6599998474121,2021200,31.817850112915
2020-02-07,33.3250007629395,33.3250007629395,32.6100006103516,32.7825012207031,3663600,30.9883670806885
2020-02-10,32.439998626709,33.375,32.4275016784668,33.375,2589200,31.5484294891357
2020-02-11,33.8650016784668,33.8800010681152,33.1349983215332,33.3974990844727,3048400,31.5697059631348
2020-02-12,33.9300003051758,34.3600006103516,33.9225006103516,34.2900009155273,2379600,32.4133644104004
2020-02-13,33.814998626709,34.3400001525879,33.6725006103516,33.9824981689453,2565600,32.1226921081543
2020-02-14,34.0175018310547,34.0849990844727,33.5,33.8950004577637,1870800,32.0399780273438
2020-02-18,33.3974990844727,33.6525001525879,32.9174995422363,33.2975006103516,2952400,31.4751834869385
2020-02-19,33.6124992370605,33.9225006103516,33.4700012207031,33.7200012207031,2007200,31.8745594024658
2020-02-20,33.5175018310547,33.7649993896484,32.3574981689453,33.2574996948242,3064800,31.4373664855957
2020-02-21,32.8474998474121,32.9049987792969,32.1300010681152,32.4749984741211,3760800,30.6976947784424
2020-02-24,29.3199996948242,30.1224994659424,28.875,29.0699996948242,8149200,27.4790458679199
2020-02-25,29.4500007629395,29.6000003814697,26.0249996185303,26.3174991607666,12675200,24.8771839141846
2020-02-26,26.6650009155273,27.6124992370605,25.7299995422363,25.9099998474121,9414800,24.4919891357422
2020-02-27,24.5149993896484,25.4074993133545,22.5,22.5025005340576,13018000,21.270975112915
2020-02-28,20.5625,21.8999996185303,19.75,21.8999996185303,18960000,20.7014465332031
2020-03-02,22.2275009155273,24.8799991607666,21.5349998474121,24.8474998474121,11593600,23.4876346588135
2020-03-03,25.1100006103516,25.9500007629395,22.0774993896484,22.6525001525879,15433600,21.4127655029297
2020-03-04,24.3999996185303,25.7574996948242,23.6299991607666,25.7024993896484,7251600,24.2958469390869
2020-03-05,23.7824993133545,24.4475002288818,22.5,23.0025005340576,10847200,21.7436084747314
2020-03-06,20.9400005340576,22.6350002288818,20.6224994659424,22.3099994659424,8333600,21.0890102386475
